【換気】,【001換気】
"進出色：
暖色：進出性○○
寒色：進出性○○
明度高い：進出性○○
明度低い：進出性○○","進出色：
暖色：進出性高い
寒色：進出性低い
明度高い：進出性高い
明度低い：進出性低い"
"面色：
・青空のように距○○感があいまいな色の見え方","面色：
・青空のように距離感があいまいな色の見え方"
"開口色：
・面○○の一種で、小さな○○を通して見る色。
・面色と同様に位置や距離が特定できず、表面の細かいあや(肌理)が感じない色の見え方","開口色：
・面色の一種で、小さな穴を通して見る色。
・面色と同様に位置や距離が特定できず、表面の細かいあや(肌理)が感じない色の見え方"
"色の恒常性：
・照明の光が少々変化しても、光が一様に当たっていれば、
・人間側で自動的に補○○して、同○○色に認識できることをいう","色の恒常性：
・照明の光が少々変化しても、光が一様に当たっていれば、
・人間側で自動的に補正して、同じ色に認識できることをいう"
"安全色
・赤：防○○・禁○○・停○○・危○○（一時停止の標識）
・黄：注○○・明○○（動物注意等の標識）
・緑：安○○・進○○（システムオールグリーン的な）
・青：指○○・誘○○（一方通行の標識）","安全色
・赤：防火・禁止・停止・危険（一時停止の標識）
・黄：注意警告・明示（動物注意等の標識）
・緑：安全状態・進行（システムオールグリーン的な）
・青：指示・誘導（一方通行の標識）"
【006音】,【006音】
"音の速さ：
約○○m/s。
気温が高くなるほど速くなる。","音の速さ：
約340m/s。
気温が高くなるほど速くなる。"
"可聴音：
○○～○○Hz","可聴音：
20～20,000Hz"
"音の指標：
・音の○○（単位面積を単位時間に通過する音のエネルギー）：物理量（W/㎡ ）
・音○○（音によって生じる大気圧からの圧力変化）：物理量（Paパスカル）
・音の○○（人の耳に感じる大きさ）：感覚量(dB)。
音の強さは一定でも、周波数によって音の大きさは変化する。人は低音に鈍感。","音の指標：
・音の強さ（単位面積を単位時間に通過する音のエネルギー）：物理量（W/㎡ ）
・音圧（音によって生じる大気圧からの圧力変化）：物理量（Paパスカル）
・音の大きさ（人の耳に感じる大きさ）：感覚量(dB)。
音の強さは一定でも、周波数によって音の大きさは変化する。人は低音に鈍感。"
"等ラウドネス曲線
・周波数と音圧レベルを軸にとり、同じ音の大きさに聞こえる点を結んだもの。
・人の聴覚においては、低音部では耳の感度が○○なり、○○~○○Hz付近の音が最も大きく聞こえる。","等ラウドネス曲線
・周波数と音圧レベルを軸にとり、同じ音の大きさに聞こえる点を結んだもの。
・人の聴覚においては、低音部では耳の感度が鈍くなり、2,000~3,000Hz付近の音が最も大きく聞こえる。"
"音の強さとデシベル
・音の強さが2倍になると、音圧レベルは約○○dB増加する。
・音の強さが1/2倍になると、音圧レベルは約○○dB減少する。","音の強さとデシベル
・音の強さが2倍になると、音圧レベルは約3dB増加する。
・音の強さが1/2倍になると、音圧レベルは約3dB減少する。"
"マスキング効果：
聞きたい音が他の音にマスクされて、聞き取りにくくなる現象。
・マスカー音（妨害音）と対象音の周波数が○○ほど、マスキング効果が大。
・マスカー音（妨害音）より、対象音の周波数が○○ほど、マスキング効果が大。","マスキング効果：
聞きたい音が他の音にマスクされて、聞き取りにくくなる現象。
・マスカー音（妨害音）と対象音の周波数が近いほど、マスキング効果が大。
・マスカー音（妨害音）より、対象音の周波数が高いほど、マスキング効果が大。"
"カクテルパーティー効果：
音が混在していても、特定の音だけ選択して聞き取ることができる効果。
パーティー会場などうるさい場所でも自分の名前が聞き取れる奴","カクテルパーティー効果：
音が混在していても、特定の音だけ選択して聞き取ることができる効果。
パーティー会場などうるさい場所でも自分の名前が聞き取れる奴"
"カラレーション：
・反射音と直接音の位相干渉などで音○○が変化する現象。
・","カラレーション：
・反射音と直接音の位相干渉などで音色が変化する現象。
・"
"フラッターエコー：
・壁からの反○○を何度も繰り返し重なり合った状況
・「ビィーン」「キンキン」といった金属的な響きが残る音響障害。
・日光東照宮の鳴き龍が有名","フラッターエコー：
・壁からの反射を何度も繰り返し重なり合った状況
・「ビィーン」「キンキン」といった金属的な響きが残る音響障害。
・日光東照宮の鳴き龍が有名"
"音の減衰（点音源）
距離○○乗に反比例して減衰する。
I=W/4πr^2
I：音の強さ（W/m2）
W：点音源の音響出力(W)
r：音源からの距離
※音の強さ（単位面積を単位時間に通過する音のエネルギー）が1/4になる
※光度の考え方、熱の放射量などと同じ。","音の減衰（点音源）
距離2乗に反比例して減衰する。
I=W/4πr^2
I：音の強さ（W/m2）
W：点音源の音響出力(W)
r：音源からの距離
※音の強さ（単位面積を単位時間に通過する音のエネルギー）が1/4になる
※光度の考え方、熱の放射量などと同じ。"
"音の減衰（線音源）
距離に反○○して減衰する。

音の減衰（無限遠の面音源）
距離によって、音は減○○しない。","音の減衰（線音源）
距離に反比例して減衰する。

音の減衰（無限遠の面音源）
距離によって、音は減衰しない。"
"音の回り込み：
高周波・波長が短い・高音：回り込み○○。
低周波・波長が長い・低音：回り込み○○。","音の回り込み：
高周波・波長が短い・高音：回り込みにくい。
低周波・波長が長い・低音：回り込みやすい。"
"コインシデンス効果：
特定の周波数が共鳴現象で遮音性能が低下する現象。
薄い壁：共振周波数が○○なる
厚い壁：共振周波数が○○なる","コインシデンス効果：
特定の周波数が共鳴現象で遮音性能が低下する現象。
薄い壁：共振周波数が高くなる
厚い壁：共振周波数が低くなる"
"太鼓現象：
壁に中空層があると、特定の周波数が共振して遮音性能が低下する現象。
中空層を薄くする：共振周波数が○○なる
中空層を厚くする：共振周波数が○○なる
面材の面密度を小さくする：共振周波数が○○なる
面材の面密度を大きくする：共振周波数が○○なる","太鼓現象：
壁に中空層があると、特定の周波数が共振して遮音性能が低下する現象。
中空層を薄くする：共振周波数が高くなる
中空層を厚くする：共振周波数が低くなる
面材の面密度を小さくする：共振周波数が高くなる
面材の面密度を大きくする：共振周波数が低くなる"
"音の透過率と遮音性
・透過率=透○○音/入○○音
・透過損失=入○○音/透○○音
・透過損失が大きいほど、遮音性能が高い。透過損失分を音を小さくしてくれる。","音の透過率と遮音性
・透過率=透過音/入射音
・透過損失=入射音/透過音
・透過損失が大きいほど、遮音性能が高い。透過損失分を音を小さくしてくれる。"
"透過損失の質量則
・単層壁の厚さ・質量が2倍になると、約○○dB増加する。
・音の周波数が2倍になると、約○○dB増加する。
・質量則の計算値は、実測値より大きめに出がち。
※高音は音が小さくなる。低音の処理は難しい","透過損失の質量則
・単層壁の厚さ・質量が2倍になると、約6dB増加する。
・音の周波数が2倍になると、約6dB増加する。
※高音は音が小さくなる。低音の処理は難しい"
"音の垂直入射と拡散（ランダム）入射
・垂直入射：透過する音が小さくなる。透過損失が大きい。
・拡散（ランダム）入射：透過する音が大きくなる。透過損失が小さい。","音の垂直入射と拡散（ランダム）入射
・垂直入射：透過する音が小さくなる。透過損失が大きい。
・拡散（ランダム）入射：透過する音が大きくなる。透過損失が小さい。"
"空気音遮断性能（室間音圧レベル差）に関する遮音等級（Dr－50など）
・数値が○○ほど遮音性能が高い
・対象部位：壁（音源室と隣室の間の壁）
・対象音　：空気音（空気中を伝わる音。壁を透過する。）
・測定方法：バ○○マシン（タ○○のやつ）","空気音遮断性能（室間音圧レベル差）に関する遮音等級（Dr－50など）
・数値が大きいほど遮音性能が高い
・対象部位：壁（音源室と隣室の間の壁）
・対象音　：空気音（空気中を伝わる音。壁を透過する。）
・測定方法：バングマシン（タイヤのやつ）"
"床衝撃音遮断性能に関する遮音等級（Lr－50など）
・数値が○○ほど遮音性能が低い。
・対象部位：床（音源室と下階の間の床）
・対象音　：固体伝搬音（固体の振動によって伝わる音）
・測定方法：タ○○マシン（タ○○金属をたたくやつ）","床衝撃音遮断性能に関する遮音等級（Lr－50など）
・数値が大きいほど遮音性能が低い。
・対象部位：床（音源室と下階の間の床）
・対象音　：固体伝搬音（固体の振動によって伝わる音）
・測定方法：タッピングマシン（タカタカ金属をたたくやつ）"
"音対策
・重量床衝撃音（子供のとびはねなど）の対策
ス○○を厚くする。

・軽量床衝撃音（食器類の落下など）の対策
床上に厚いじ○○を敷く。　ス○○を厚くする。","音対策
・重量床衝撃音（子供のとびはねなど）の対策
スラブを厚くする。

・軽量床衝撃音（食器類の落下など）の対策
床上に厚いじゅうたんを敷く。　スラブを厚くする。"
"吸音材の種類：
・多孔質材料：
○○音域で吸音率が高い。
孔が塞がれる（塗○○する、水にぬ○○等する）と性能が下がる。

・板状材料+背後に空気層：
○○音域で吸音率が高い。
板が振動することで、エネルギーを吸収。
（高音域は音が跳ね返ってしまうので、吸音できない）

・孔あき板+背後に空気層：
○○音域で吸音率が高い。
孔が大きくなると○○音域の吸音率が高くなる。（高音域を孔に通しやすくなるので）
空気層を厚くすると、○○音域の吸音率が高くなる。","吸音材の種類：
・多孔質材料：
高音域で吸音率が高い。
孔が塞がれる（塗装する、水にぬれる等する）と性能が下がる。

・板状材料+背後に空気層：
低音域で吸音率が高い。
板が振動することで、エネルギーを吸収。
（高音域は音が跳ね返ってしまうので、吸音できない）

・孔あき板+背後に空気層：
中音域で吸音率が高い。
孔が大きくなると高音域の吸音率が高くなる。（高音域を孔に通しやすくなるので）
空気層を厚くすると、低音域の吸音率が高くなる。"
"吸音率：
α=(Ia+It)/I
α：吸音率
Ia：吸収される音エネルギー
It：透過する音エネルギー
I：入射音エネルギー","吸音率：
α=(Ia+It)/I
α：吸音率
Ia：吸収される音エネルギー
It：透過する音エネルギー
I：入射音エネルギー"
"諸室のNC値
・会議室：○○～○○NC値
・寝室：○○NC値
・教室：○○NC値
・一般事務室：○○～○○NC値","諸室のNC値
・会議室：25～35NC値
・寝室：30NC値
・教室：40NC値
・一般事務室：40～50NC値"
"残響時間：
T60=○○x○○/○○x○○
V=室容積
A=室表面積
a=平均吸音率","残響時間：
T60=0.16xV/axA
V=室容積
A=室表面積
a=平均吸音率"
"最適残響時間：
室容積が○○なる：最適残響時間も○○なる","最適残響時間：
室容積が大きくなる：最適残響時間も長くなる"
"各諸室における平均吸音率
・一般的な部屋：平均吸音率○○
・教室、会議室：平均吸音率○○（ある程度、残響を抑える）
・講堂、保育室：平均吸音率○○（残響が少なく音が明瞭になる）","各諸室における平均吸音率
・一般的な部屋：平均吸音率0.15
・教室、会議室：平均吸音率0.20（ある程度、残響を抑える）
・講堂、保育室：平均吸音率0.25（残響が少なく音が明瞭になる）"
【空調設備①負荷、熱源、蓄熱】,【空調設備①負荷、熱源、蓄熱】
"熱負荷計算方法：
・定○○計算法：
室内外気温が一定の場合の計算方法。
概算で冷暖房容量を把握したい場合に用いる。

・非○○計算法：
室内外気温が非定常の場合の計算方法。
時間ごとの室温変化や設備運転をシミュレーションしたい場合に用いる。","熱負荷計算方法：
・定常計算法：
室内外気温が一定の場合の計算方法。
概算で冷暖房容量を把握したい場合に用いる。

・非定常計算法：
室内外気温が非定常の場合の計算方法。
時間ごとの室温変化や設備運転をシミュレーションしたい場合に用いる。"
"熱負荷計算時の室内発熱負荷の扱い方

照明、機器、人体等の室内発熱負荷は、
冷房時：熱負荷として計算○○。
暖房時：熱負荷として計算○○。（安全側として扱うことが多い）","熱負荷計算時の室内発熱負荷の扱い方

照明、機器、人体等の室内発熱負荷は、
冷房時：熱負荷として計算する。
暖房時：熱負荷として計算しない。（安全側として扱うことが多い）"
"人体からの発熱量
・全熱はほぼ一定
・室温が低いと、○○熱が多くなる
・室温が高いと、○○熱が多くなる（汗をかく）","人体からの発熱量
・全熱はほぼ一定
・室温が低いと、顕熱が多くなる
・室温が高いと、潜熱が多くなる（汗をかく）"
"事務室のOA機器発熱負荷：
○○W/m2程度とする。
（OA用のコンセント容量は30~50VA/m2）","事務室のOA機器発熱負荷：
15W/m2程度とする。
（OA用のコンセント容量は30~50VA/m2）"
"ピーク負荷と部分負荷
・ピ○○負荷：1日の電力需要や機械の動作において、最も電力消費や負荷が高まる時間帯
・部○○負荷：ピ－ク時間負荷より小さい時間負荷。","ピーク負荷と部分負荷
・ピーク負荷：1日の電力需要や機械の動作において、最も電力消費や負荷が高まる時間帯
・部分負荷：ピ－ク時間負荷より小さい時間負荷。"
"建物用途別の熱負荷の特徴
・劇場：ピーク負荷が大きい。予冷・予熱が長い傾向がある。
・百貨店：休日と平日、午前中と夕方などで、負荷が大きく異なる。
・ビジネスホテル：ピーク負荷が夕方から夜間にかけて発生する傾向。
・事務所：ほとんど時間で部分負荷。比較的低負荷率での運用時間が多くなる。
・データセンター：外皮負荷や外気負荷より、室内で発生する顕熱負荷が大きい。","建物用途別の熱負荷の特徴
・劇場：ピーク負荷が大きい。予冷・予熱が長い傾向がある。
・百貨店：休日と平日、午前中と夕方などで、負荷が大きく異なる。
・ビジネスホテル：ピーク負荷が夕方から夜間にかけて発生する傾向。
・事務所：ほとんど時間で部分負荷。比較的低負荷率での運用時間が多くなる。
・データセンター：外皮負荷や外気負荷より、室内で発生する顕熱負荷が大きい。"
"・冷房負荷の要素
日射熱負荷
照明、人体、室内機器の熱負荷
導入外気負荷","・冷房負荷の要素
日射熱負荷
照明、人体、室内機器の熱負荷
導入外気負荷"
"・暖房負荷
壁体などからの貫流熱負荷
室温変動に起因する蓄熱負荷
導入外気負荷","・暖房負荷
壁体などからの貫流熱負荷
室温変動に起因する蓄熱負荷
導入外気負荷"
・顕熱負荷は、風量×室内外の温度差に比例,・顕熱負荷は、風量×室内外の温度差に比例
・潜熱負荷は、風量×室内外の湿度差に比例,・潜熱負荷は、風量×室内外の湿度差に比例
・全熱負荷は、風量×室内外の比エンタルピー差に比例,・全熱負荷は、風量×室内外の比エンタルピー差に比例
"COP（成績係数：Coefficient Of Performance）
・COP=能○○/消○○電力
・一定の温○○条件下での運転効率。","COP（成績係数：Coefficient Of Performance）
・COP=能力/消費電力
・一定の温度条件下での運転効率。"
"APF（通年エネルギー消費効率：Annual Performance Factor）
・APF=通○○の能力/通○○消費電力（外気温の変化も含めた指標）
・外気温度の変化による冷暖房能力や消費電力の変化を加味した運転効率。COPより精度が高い。","APF（通年エネルギー消費効率：Annual Performance Factor）
・APF=通年の能力/通年消費電力（外気温の変化も含めた指標）
・外気温度の変化による冷暖房能力や消費電力の変化を加味した運転効率。COPより精度が高い。"
"SHFとは、顕○○比
・SHFは、Sensible Heat Factor の略です。","SHFとは、顕熱比
・SHFは、Sensible Heat Factor の略です。
「Sensible」は、センサーから連想できるように、「知覚できる」という意味です。
したがって、「Sensible Heat」は、知覚できる熱、すなわち顕熱です。"
"加湿方式
・蒸気吹出し式
　すでに気体となっている水○○気を吹き出すため、
　加湿しても空気の温度が変化○○。
・水噴霧式と気化式
　水が蒸発して水蒸気になる際に周囲から気○○熱を奪うため、
　加湿すると空気の温度が○○する。","加湿方式
・蒸気吹出し式
　すでに気体となっている水蒸気を吹き出すため、
　加湿しても空気の温度が変化しない。
・水噴霧式と気化式
　水が蒸発して水蒸気になる際に周囲から気化熱を奪うため、
　加湿すると空気の温度が低下する。"
"TAC温度：
・設○○用外気温度
・全国の主要都市の実際の気象データを統計処理し、稀にみられる猛暑日などを取り除いている。
・TAC5%=35℃などとあらわされ、冷房シーズン（120日間）に5%(6日間）だけ35℃を超える日があることを示している","TAC温度：
・設計用外気温度
・全国の主要都市の実際の気象データを統計処理し、稀にみられる猛暑日などを取り除いている。
・TAC5%=35℃などとあらわされ、冷房シーズン（120日間）に5%(6日間）だけ35℃を超える日があることを示している"
■熱源方式,■熱源方式
"熱源方式
・中央熱源方式：
チラー等、全体で○○つの熱源を持つ。
中央熱源空調方式でもパーソナル空調としての利用は可能。

・個別熱源方式：
ビルマル等、系統ごとに熱源を個○○に持つ。","熱源方式
・中央熱源方式：
チラー等、全体で1つの熱源を持つ。
中央熱源空調方式でもパーソナル空調としての利用は可能。

・個別熱源方式：
ビルマル等、系統ごとに熱源を個別に持つ。"
"一般熱源方式
・電動冷凍機+ボイラー方式
・吸収冷凍機+ボイラー方式
・吸収冷温水発生機方式
・ヒートポンプシステム
など","一般熱源方式
・電動冷凍機+ボイラー方式
・吸収冷凍機+ボイラー方式
・吸収冷温水発生機方式
・ヒートポンプシステム
など"
"特殊熱源方式
・熱回収システム
・蓄熱式空調システム
・コジェネレーションシステム
・地域冷暖房方式
など","特殊熱源方式
・熱回収システム
・蓄熱式空調システム
・コジェネレーションシステム
・地域冷暖房方式
など"
・各システムの特徴,・各システムの特徴
"空気熱源ヒートポンプ：
外気温が○○なるとCOPが低下。
5度以下でフロスト（着霜）が付くため、デ○○運転が必要になる。","空気熱源ヒートポンプ：
外気温が低くなるとCOPが低下。
5度以下でフロスト（着霜）が付くため、デフロスト運転が必要になる。"
"・冷凍機の種類
圧縮式冷凍機：エネルギー源が電気、冷却塔とセット
吸収式冷凍機：エネルギー源がガス、冷却塔とセット
遠心式冷凍機（ターボ冷凍機）：
直焚き吸収式冷温水機：エネルギー源がガス、冷却塔とセット","・冷凍機の種類
圧縮式冷凍機：エネルギー源が電気、冷却塔とセット
吸収式冷凍機：エネルギー源がガス、冷却塔とセット
遠心式冷凍機（ターボ冷凍機）：
直焚き吸収式冷温水機：エネルギー源がガス、冷却塔とセット"
"吸収冷凍機、吸収冷温水機のポイント
・運転中の機内は真空に近い。（そのため爆発などはない）
・吸収冷凍機はボイラーとセットで利用する。
・直焚き式の場合、給気量は室内発熱を除去するための換気量と燃焼に必要な空気量とを合わせた量とする。
・吸収冷温水機は、冷温水同時取り出し可能。","吸収冷凍機のポイント
・運転中の機内は真空に近い。（そのため爆発などはない）
・"
"冷却塔の特徴
冷却塔（クーリングタワー）：
・開放式と密閉式がある。
開放式：水○○汚染の可能性がある。シリカ成分が濃縮されス○○障害、酸○○が取り込まれ配管腐食。
密閉式：構造が複雑になり高○○になる。少しだけ性○○落ちる。
・冷却水の温度は外気の「○○球温度」より低くすることはできない。
・冷却水のレジオネラ防止対策として、外気取り入れ口から○○m以上離す。","冷却塔の特徴
冷却塔（クーリングタワー）：
・開放式と密閉式がある。
開放式：水質汚染の可能性がある。シリカ成分が濃縮されスケール障害、酸素が取り込まれ配管腐食。
密閉式：構造が複雑になり高価になる。少しだけ性能落ちる。
・冷却水の温度は外気の「湿球温度」より低くすることはできない。
・冷却水のレジオネラ防止対策として、外気取り入れ口から10m以上離す。"
"蓄熱システム
・蓄熱槽の中で、高温水と低温水とを限りなく分離させると効率が○○
・蓄熱槽を効率的に利用するには、出入口温度差を○○した方がよく、変流量制御の方が望ましい。","蓄熱システム
・蓄熱槽の中で、高温水と低温水とを限りなく分離させると効率が良い
・蓄熱槽を効率的に利用するには、出入口温度差を大きくした方がよく、変流量制御の方が望ましい。"
【空調機器②コジェネ等】,【空調機器②コジェネ等】
"コジェネレーションシステム
・発電と熱利用をどっちも行う

・ガスタービン式
発電効率：○○%程度
熱電比：○○。排熱利用は蒸気(○○温)

・ガスエンジン式
発電効率：○○%程度
熱電比：排熱利用は○○水。

・燃料電池式の発電効率
発電効率：○○%程度
熱電比：排熱利用はまる水。
家庭用がある。","コジェネレーションシステム
・発電と熱利用をどっちも行う

・ガスタービン式
発電効率：30%程度
熱電比：高め。排熱利用は蒸気(高温)

・ガスエンジン式
発電効率：40%程度
熱電比：排熱利用は温水。

・燃料電池式の発電効率
発電効率：40%程度
熱電比：排熱利用は温水。
家庭用がある。"
"・地域冷暖房方式
DHC","・地域冷暖房方式
DHC"
"・暖房の方式
開○○型　…　室内空気を燃焼に用い、燃焼ガスを室内に排気
半○○型 … 室内空気を燃焼に用い、燃焼ガスを屋外に排気
密○○型　…　屋外空気を燃焼に用い、燃焼ガスを屋外に排気","・暖房の方式
開放型　…　室内空気を燃焼に用い、燃焼ガスを室内に排気
半密閉型 … 室内空気を燃焼に用い、燃焼ガスを屋外に排気
密閉型　…　屋外空気を燃焼に用い、燃焼ガスを屋外に排気"
"・空調方式の種類
もう少し書き方工夫必要かも。",・空調方式の種類
"・VAV（変風量単一ダクト方式：Variable Air Volume）
→吹出し空気の「風量」を変化させる方式。
例えば冷房時に室温が設定温度に近づいてきたら、風量を減らす。","・VAV（変風量単一ダクト方式：Variable Air Volume）
→吹出し空気の「風量」を変化させる方式。
例えば冷房時に室温が設定温度に近づいてきたら、風量を減らす。"
"・CAV（定風量単一ダクト方式：Constant Air Volume）
→吹出し空気の「温度」を変化させる方式。
例えば冷房時に室温が設定温度に近づいてきたら、
　　16℃で吹き出していた冷風の温度を21℃に上げるなど。","・CAV（定風量単一ダクト方式：Constant Air Volume）
→吹出し空気の「温度」を変化させる方式。
例えば冷房時に室温が設定温度に近づいてきたら、
　　16℃で吹き出していた冷風の温度を21℃に上げるなど。"
"・VWV（変水量方式：Variable Water Volume）
→冷温水の「全体の水量」を変化させる方式。","・VWV（変水量方式：Variable Water Volume）
→冷温水の「全体の水量」を変化させる方式。"
"・CWV（定水量方式：Constant Water Volume）
→冷温水の「全体の水量」は一定で、一部をバイパスさせることにより、
空調機の「冷却コイルの水量」を変化させる方式。","・CWV（定水量方式：Constant Water Volume）
→冷温水の「全体の水量」は一定で、一部をバイパスさせることにより、
空調機の「冷却コイルの水量」を変化させる方式。"
"ダクトのアスペクト比の限度
アスペクト比は、○○:1以下に設計することが望ましい","ダクトのアスペクト比の限度
アスペクト比は、4:1以下に設計することが望ましい"
"ダクトの圧力損失
・長さに比例する：ダクトが2倍長くなると、損失も2倍。
・直径に反比例する：ダクトを太くするほど、損失が少なくなる。
・風速の2乗に比例する：風速を2倍にすると、抵抗は4倍（2の2乗）",
"換気ガラリの風速

・外気取り入れガラリ：
面風速○○m/s以下
有効開口面積が○○

・排気ガラリ：
面風速○○m/s以下
有効開口面積が○○","換気ガラリの風速

・外気取り入れガラリ：
面風速3m/s以下
有効開口面積が大きい

・排気ガラリ：
面風速4m/s以下
有効開口面積が小さい"
"送風機の種類
・軸流送風機：
扇風機的なファン。
静圧が低い。
ダクトの圧力損失が低い場合（ダクト無し等）に利用する

・遠心送風機：
シロッコファン等
静圧が高い。
ダクトの圧力損失が高い場合に利用する",
"駐車場の換気設備
・誘○○方式の換気とすると経済的
・誘引ファンにより、高速空気を吹き出し、周囲の空気も誘引する
（ダイソンの扇風機、ドライヤーが誘引ファン方式）","駐車場の換気設備
・誘引誘導方式の換気とすると経済的
・誘引ファンにより、高速空気を吹き出し、周囲の空気も誘引する
（ダイソンの扇風機、ドライヤーが誘引ファン方式）"
【009給排水衛生設備①給水、給湯、衛生】,【009給排水衛生設備①給水、給湯、衛生】
"給水方式の種別
・水○○給水方式（受水槽なし）
・水道直結増圧○○給水方式（受水槽なし）
・高○○水槽給水方式（揚水式と増圧揚水式）（受水槽あり）
・ポ○○給水方式（受水槽あり）","給水方式の種別
・水道直結給水方式（受水槽なし）
・水道直結増圧ポンプ給水方式（受水槽なし）
・高置水槽給水方式（揚水式と増圧揚水式）（受水槽あり）
・ポンプ直送給水方式（受水槽あり）"
"水道直結給水方式（受水槽なし）のポイント
・○○階以下の一戸建てや、低層小規模建物に採用
・水道本館への逆流に注意が必要。
主管メーターの直後に、逆流防止装置（複式逆止弁等）を設置する。
給水器具（給水栓等）は、吐水口空間を確保する。確保できない場合はバキュームブレーカーを設置する。","水道直結給水方式（受水槽なし）のポイント
・3階以下の一戸建てや、低層小規模建物に採用
・水道本館への逆流に注意が必要。"
"水道直結増圧ポンプ給水方式（受水槽なし）のポイント
・増○○ポンプを利用する
・水道本館への逆流防止措置を行う。
増圧ポンプの吸い込み側に逆流防止装置（減圧式逆流防止器等）を設置する。
立管頂部の吸排気用具（吸排気弁等）を設置する。
給水器具（給水栓等）は、吐水口空間を確保する。確保できない場合はバキュームブレーカーを設置する。","水道直結増圧ポンプ給水方式（受水槽なし）のポイント
・増圧ポンプを利用する
・水道本館への逆流防止措置を行う。増圧ポンプの吸い込み側に逆流防止装置（減圧式逆流防止器等）を設置する。"
"高置水槽給水方式（揚水式と増圧揚水式）（受水槽あり）
・設備費や維持管理費が高い
・重○○により給水。
・停電時や断水時も給水○○。
・大規模な建築物にも適用でき○○。","高置水槽給水方式（揚水式と増圧揚水式）（受水槽あり）
・設備費や維持管理費が高い
・重力により給水。
・停電時や断水時も給水可能。
・大規模な建築物にも適用できる。"
"ポンプ直送給水方式（受水槽あり）のポイント
・停電時には給水が○○。
・断水時には、受水槽の残量を利用可能。","ポンプ直送給水方式（受水槽あり）のポイント
・停電時には給水が不可能。
・断水時には、受水槽の残量を利用可能。"
"受水槽を設ける方式には、共通して次の特徴があります。
・水質汚染の可能性が○○なる。
・本管断水時も受水槽に残っている分は給水○○。
・機器設置スペースが○○なる。
・受水槽容量の算出","受水槽を設ける方式には、共通して次の特徴があります。
・水質汚染の可能性が大きくなる。
・本管断水時も受水槽に残っている分は給水可能。
・機器設置スペースが大きくなる。
・受水槽容量の算出"
※問題に出たら書く,※問題に出たら書く
"飲料用受水槽のポイント
・○○面点検、（上:○○m、下左右：○○m)
・建築物の躯体を利用して○○。
・受水槽容量は、建物の予想給水量の○○%程度で計画。
・屋外の受水槽は、藻の増殖を防ぐため、水槽照度率は○○%以下とする。
・水槽内の滞留水による死○○ができないよう、迂○○壁等を設ける場合がある。
・保○○点○○用に受水槽に中仕切り壁を設けて、○○槽区分する場合がある。","飲料用受水槽のポイント
・6面点検、（上:1m、下左右：0.6m)
・建築物の躯体を利用してはならない。
・受水槽容量は、建物の予想給水量の50%程度で計画。
・屋外の受水槽は、藻の増殖を防ぐため、水槽照度率は0.1%以下とする。
・水槽内の滞留水による死水ができないよう、迂回壁等を設ける場合がある。
・保守点検用に受水槽に中仕切り壁を設けて、2槽区分する場合がある。"
"雑用水・消火専用受水槽
　建築物の躯体を利用して○○。","雑用水・消火専用受水槽
　建築物の躯体を利用してもよい。"
"給水・給湯の配管方法

・先○○工法：
チーズやエルボ等の継手を使用し分岐しながら配管。
漏水箇所が分散。確認しづらい。
増設分岐はしやすい。

・さ○○ヘッダー工法：
ヘッダーから1対1で配管。
漏水箇所はヘッダー、先端の2か所がメイン。
集合住宅の宅内で採用されがち。","給水・給湯の配管方法

・先分岐工法：
チーズやエルボ等の継手を使用し分岐しながら配管。
漏水箇所が分散。確認しづらい。
増設分岐はしやすい。

・さや管ヘッダー工法：
ヘッダーから1対1で配管。
漏水箇所はヘッダー、先端の2か所がメイン。
集合住宅の宅内で採用されがち。"
"クロスコネクションの防止策
・加湿給水槽などを設けて、縁を切る
・","クロスコネクションの防止策
・加湿給水槽などを設けて、縁を切る
・"
"ウォーターハンマー防止策
・配管径を大きくする（結果、流速が下がるため防止になる）
・横引配管は、できるだけ低い位置で計画。
・空気弁を設置する。","ウォーターハンマー防止策

・エアチャンバーを配置。
・横引配管は、できるだけ低い位置で計画。"
"バキュームブレーカー：
・逆流防止。","バキュームブレーカー：
・逆流防止。"
"キャビテーション：
・液体中で圧力低下により気泡が発生する現象。（山の上だと沸点が下がる原理）
ポンプ性能低下、振動、部材の損傷などが起こる。

・防止策：
吸込み配管径を大きくする、
液体温度を下げる、等",
"給水量の設計
・一般住宅:○○L～○○L／人（居住者）
・集合住宅：○○L～○○L／人（居住者）
・事務所ビル：○○L～○○L／人（在勤者）","給水量の設計
・一般住宅:150L～300L／人（居住者）
・集合住宅：200L～350L／人（居住者）
・事務所ビル：60L～100L／人（在勤者）"
"建物用途別の飲料、雑用の割合
・事務所ビル：飲料水：○○割、雑用水：○○割
・住宅：飲料水：○○割、雑用水：○○割","建物用途別の飲料、雑用の割合
・事務所ビル：飲料水：3割、雑用水：7割
・住宅：飲料水：7割、雑用水：3割"
"給水必要圧力
・一般水栓：○○kPa（キロパスカル）
・シ○○、大・小便器洗○○弁（フラッシュバルブ）：○○kPa","給水必要圧力
・一般水栓：30kPa（キロパスカル）
・シャワー、大・小便器洗浄弁（フラッシュバルブ）：70kPa"
