■日本の独立住宅,,■日本の独立住宅,
図書館、博物館、展示室等からなる複合施設であり、南北二つの棟がスリット状の通路及び正方形の中庭を挟んで対峙する構成となっている。 ,アラ,アラブ世界研究所：ジャン・ヌーベル,
集成材とケーブル等で構成された立体張弦アーチと、膜屋根を組み合わせた架構をもつ建築物である。リフトアップ施工。 ,出雲,出雲ドーム：鹿島建設,
小断面の製材を斜め格子状に組み合わせた屋根架構をもつ建築物である。 ,群馬,群馬県農業技術センター：SALHAUS：サルハウス,
凸レンズ状に組まれたトラス梁が並んだ屋根架構をもつ建築物である。 ,住田,住田町役場：前田建設工業ほか,
主要構造部の柱や梁には、鋼材を内蔵した集成材を使用し、外壁にはガラスカーテンウォールと木製ルーバーを使用した建築物である。 ,国見,国見町庁舎：JR東日本建築設計,
■事務所,,■事務所,
機械設備、エレベーター、便所、階段等のサービス機能をもったシャフトを、建築物の外周部に独立して配置している。 ,ロイ,ロイズ・オブ・ロンドン：リチャード・ロジャース,
吊橋の工法を応用した構造の採用により、各階は、2列のマスト状の組柱の間が開放的な無柱空間となっている。 ,香港,香港上海銀行本店：ノーマン・フォスター,
2層吹抜けの執務スペースでは、天井付近が広がった樹木状の柱や柱頭まわりの天窓、ハイサイドライトによって、内部に自然を再現している。 ,ジョ,ジョンソン・ワックス・ビル：フランク・ロイド・ライト,
ビル内部に豊かな植栽が施されたアトリウムをもち、各フロアの執務スペースはアトリウムをL字型に囲むように配置されている。 ,フォ,フォード財団本部ビル：ケヴィン・ローチ,
低層部分は旧丸ビルのファサードである3層構成と高さ31mのフォルムを継承し都市景観に配慮し、街路の延長としてのアトリウムを設けることにより旧丸ビルの十字アーケードを発展的に継承している。 ,丸の,丸の内ビルディング：三菱地所設計,
高層階のオフィスゾーンは、中央にアトリウムを設け、事務室沿いの廊下をアトリウムに面して配置しており、その廊下から建築物のどこの位置に自分がいるのかを把握することができる。 ,新宿,新宿NSビル：日建設計,
執務スペースが階段状に積層する立体的なワンルーム空間に、ガラスをはめこんだ木と鉄のハイブリッドトラスの屋根をかけ、自然光を通すフィルターを使用した天幕を設けている。 ,RO,ROKIGlobalInnovationCenter：小堀哲夫建築設計事務所(こぼり てつお),
■劇場,,■劇場,
来館者の動線を円滑にエントランス空間に導くために、演劇ホールとコンサートホールの間に光庭や吹抜けをもつモール状の空間を設けている。 ,熊本,熊本県立劇場：前川國男,
丘陵地のような独創的な空間構成をとり、アリーナ型という新たなコンサートホールの舞台・客席形式を創出した。 ,ベル,ベルリン・フィルハーモニーホール：ハンス・シャロウン,
観客と舞台との一体感を得られやすい「オープンステージ形式」の劇場である。 ,シェ,シェークスピア劇場・グローブ座,
■商業、その他,,■商業、その他,
周辺環境との調和を図った水辺空間を創出し、迷路性や回遊性を追求した商業施設であり、第Ⅱ期計画では頭部にドームが増築され、第Ⅰ期計画の水平性に対して、強い求心性と垂直性が付加されている。コンクリートブロック造。 ,TI,"TIME’SⅠ,Ⅱ：安藤忠雄",
■都市計画理論,,■都市計画理論,
中世以来の高密度化した市街地の一部を取り壊して直線的な大通りを通し、幹線道路網や道路沿いの景観を整備することで、パリを近代的な都市につくり変えた。 ,パリ,パリ改造計画：ジョルジュ・オースマン,
一部の歴史的建造物を保存しつつ、古い街区や建築物を大規模に取り壊し、幹線道路等を整備したうえで、超高層ビルに建て替える提案をした。 ,パリ,パリのヴォワザン計画：ル・コルビュジエ,
これまでの求心・放射型の都市構造の閉鎖性に対して、東京湾に造成した人工地盤に向かって都市の中枢機能の拡大を可能とする都市構造が提案された。 ,東京,東京計画1960：丹下健三研究室,
■歴史的都市計画,,■歴史的都市計画,
ヒッポダモスの計画による、城壁内全体に格子状に直交道路網を敷設し、都市の中央部に行政・宗教・商業施設を、その南北に住宅地を配した都市である。 ,ミレ,ミレトス(トルコ),
ミケランジェロの計画による、台形状の広場とアプローチとしての大階段、三つのパラッツォを対称的に配置することで、軸線を強調した、バロック的な広場計画の初期の事例である。 パラッツォとは、イタリアの都市の宮殿、庁舎のことです。 ,カン,カンピドーリオ広場(ローマ),
長方形の平面に対し、南北を通る朱雀大路を中心に右京と左京に分かれ、条（東西道路）と坊（南北道路）による格子の街路網をもつ条坊制が敷かれた。 ,条坊,条坊制・平安京(京都),
16世紀末から17世紀にかけて江戸城を中核とする堀の開削や海岸線の埋め立てが行われ、山の手の尾根筋の土地に大名屋敷を配し、谷筋に町人地を設定するなど、起伏に富んだ地形に対応した開発が行われた。 ,江戸,江戸(東京),
ドイツのエンデ・ベックマン建築事務所により、築地・日比谷・霞が関一帯を含む広大な敷地に中央停車場を置き、三角形に構成された大街路や広場を含んだ計画が提案された。 ,官庁,官庁集中計画(東京),
■新都市建設,,■新都市建設,
三つの都市機能（中央官庁街、市政庁、業務商業機能）を三角形の頂点に相当する位置に配置して都心部を構成し、その外側を郊外住宅地とする計画案に基づいている。 ,キャ,キャンベラ(オーストラリア),
ル・コルビュジエの都市計画理念に基づく 格子状に分割した区域（ユニット）と7段階に機能分けした道路網からなる計画案に基づいている。 ,チャ,チャンディガール(インド),
1960年代に首都遷都。内陸部の発展・国土全体の均衡ある発展。ジェット機形の平面形状をもち、機体の胴体に相当する部分を政治的中枢地域、翼に相当する部分を住居地域とする計画案に基づいている。オスカーニーマイヤの公共建築。 ,ブラ,ブラジリア(ブラジル),
ポトマック川から国会議事堂に至る軸に象徴的な役割をもたせ、格子状街路に放射状街路を組み合わせた計画案に基づいている。 ,ワシ,ワシントンD.C.(アメリカ),
フランス革命200年(1989年 )を記念して、9つの再開発事業。ルーブル美術館の大改修やオルセー駅舎の美術館への転用等、拠点整備による都市の再生を進めた。 ,パリ,パリのグラン・プロジェ：フランソワ・ミッテラン大統領らが主導,
■外国のニュータウン,,■外国のニュータウン,
E.ハワード（E.Howard）によって提唱された「田園都市」の考え方がイギリスのニュータウンに実現、反映された。,レッ,レッチワース(イギリス),
パトリック・ゲデスの「保存的外科手術」という概念のもと、都市の歴史性を保存しながら再開発が行われた都市である。,バロ,バローダ(インド), バローダはバドダラと言うこともあります。
近隣住区方式の原則に基づき、明快な住区の段階構成をもつニュータウンの例である。 ,ハー,ハーロウ(イギリス),
近隣住区方式からの脱却を目ざすワンセンター方式によって計画された高密度のニュータウンである。,カン,カンバーノールド(イギリス),
ロンドン市内のテムズ河畔再開発の一環として、G.L.C.（Greater London Council。ロンドン市建設局）の設計によって建設された都市型住宅団地である。 ,テー,テームズ・ミード(イギリス),
イギリス最大級のニュータウンであり、近隣住区論による空間構成を忠実に具体化した計画案に基づいている。 ,ミル,ミルトン・ケインズ(イギリス),
ラドバーン方式は、住宅地計画における人と車を分離する設計手法である。 ,ラド,ラドバーン(アメリカ),
中央部に、自然と調和する「低密度」 。人工池のほとりの高層建築物レストラン等の入るタウンセンター 。人工池を設けたシンボリックな空間。ニュータウン。アルヴァ・アアルトもニュータウンの設計に携わ る。,タピ,タピオラ(フィンランド),
近隣住区方式を採用せず、3差路やY字形の都市内幹線道路を形成し、別系統で歩行者路を立体的に重ね合わせて歩車分離を実施している。 ,トゥ,トゥールーズ・ル・ミレイユ(フランス),
アメリカのスラム問題を解決するために1950年代に建設された低所得者向けの高層大規模集合住宅群。1974年には爆破撤去,プル,プルーイット・アイゴー(アメリカ),
■日本のニュータウン,,■日本のニュータウン,
近隣住区方式による我が国最初の大規模なニュータウンの例 ,千里,千里ニュータウン(大阪府),
テラスハウス、ポイントハウス、フラットなどの住宅をそれぞれの視覚的・機能的特徴をよく発揮するようにグルーピングし、道路や地形も配慮しながら団地全体を構成している。設計は津端修一。,高根,高根台団地(千葉県),
マスタープランにおいて、ニュータウンセンターから枝状に連続するペデストリアンデッキを計画した大規模なニュータウンの例である。ワンセンター方式,高蔵,高蔵寺ニュータウン(愛知県),
近隣住区方式による我が国最大級のニュータウンであり、1住区につき1中学校区を基本とし、各住区に小中学校、幼稚園、保育所、スーパーマーケット等の日常生活に必要な施設を徒歩圏に配置している。,多摩,多摩ニュータウン(東京都),
公園、保存緑地と緑道、歩行者専用道とを結ぶネットワークをもつニュータウンの例である。,港北,港北ニュータウン(神奈川県),
東京への一極集中を緩和するために、職住一体の「田園都市」として構想されたものである。,筑波,筑波研究学園都市(茨城県),
環境デザインに対する関心を高め、都市環境・建築文化等の向上を図るために、「コミッショナー」が設計者を推薦する手法が採用された事業である。,くま,くまもとアートポリス(熊本県),
「パタン・ランゲージ」に範をとった町づくり規範により、歴史的町並みの景観の保全が実践されている。 ,川越,川越一番街(埼玉県),
明治時代に建築された黒漆喰仕上げの建築物を保存・改装し、この建築物を核とした街並み「黒壁スクエア」を中心にして観光振興によるまちづくりを行っている。 ,長浜,長浜市(滋賀県),
北斎館の開館を契機に、「住まいづくりマニュアル」に基づき、町の歴史、風土、特徴を住まいづくりに役立てようとする住民主導のまちづくりを行っている。 ,小布,小布施町(長野県),
持続可能なコンパクトシティの実現を目指し、LRT（Light Rail Transit）を導入することで、公共交通の活性化、公共交通沿線地区への居住促進、中心市街地の活性化等を図っている。 ,富山,富山市(富山県),
「クリエイティブシティ・ヨコハマ」の実現を目指し、歴史的建造物や鉄道高架下等を活用した文化芸術活動を支援するための拠点づくりを行っている。 ,横浜,横浜市(神奈川県),
道路の上空及び路面下において建築物等の整備を一体的に行うことができる「立体道路制度」を活用し、この地域における居住機能や文化・交流機能の導入、業務機能の質の高度化等を図っている。 ,環状,環状第二号線新橋・虎ノ門地区(東京都),
■都市の再生,,■都市の再生,
江戸時代以来の町家を保存し、活用するとともに、耐火煉瓦塀（トンバイ塀 ）の復元や裏通りの整備等のまちづくりを進めている。,有田,有田町(佐賀県),
中町の「こみせ」と呼ばれる降雪や日差しを避けて通れるようにした木造の軒下の歩廊が続く町並みを、伝統的建造物群保存地区に指定し、保存に取り組んでいる。 ,青森,青森県黒石市,
「生涯学習都市宣言」を行い、その一環として官民が協力し、地区計画を定めて掛川城の城下町としての歴史を活かした城下町風まちづくりを推進している。 ,静岡,静岡県掛川市,
本瓦葺塗屋造りの町屋、土蔵造りの蔵、白漆喰になまこ塀が建ち並ぶ倉敷川畔を「美観地区」とし、景観の保全を図っている。 ,岡山,岡山県倉敷市,
防衛を兼ねた城塁型の地割、先が見通せない屈曲した通りが残る武家屋敷群であり、各屋敷の庭園、生垣など自然と調和した景観が形成されている。 ,鹿児,鹿児島県南九州市知覧,
都市再生特別措置法による「都市再生特別地区」は、都市の再生に貢献し、土地の合理的かつ健全な高度利用を図る特別の用途、容積、高さ、配列等の建築物の建築を誘導する必要があると認められる区域について、都市計画に定めることができるものであり、建築物等の誘導すべき用途、建築物の容積率の最高限度及び最低限度、建築物の建蔽率の最高限度等を定める地区です。,北海,北海道札幌市,
タウンマネジメント・プログラムにより、第三セクターを設立し、地域住民や事業者、地権者を主体としたまちづくりが実践されている。 ,香川,香川県高松市,
民間自立型による家守（やもり）事業者の設立や定期的なリノベーションスクールの開催により、遊休不動産を活用した「リノベーションまちづくり」が実践されている。 ,福岡,福岡県北九州市,
シンボル性・公共性が高い歴史的建築物の周辺を、道路の付け替えを行うことで歩行者のための空間とし、軌道で使われていた手加工の敷石を舗装に再利用することで歴史的建築物と調和した景観づくりが行われた。 ,愛媛,愛媛県松山市道後温泉本館周辺地区,
町の基幹産業である木材を活用した住宅の表彰制度や、建築物の屋根や外壁に関する景観条例の制定、教育施設等の公共施設の建て替え、歴史的建築物の改修による景観づくりが行われた。 ,山形,山形県最上郡金山町金山地区,
港湾機能の低下によって衰退したテムズ川沿いの旧港湾地区に複合機能をもたせたプロジェクトである。 ,ドッ,ドックランズ再開発計画(イギリス：ロンドン),
第二次世界大戦とその後の東西分断によって長年更地であった敷地に複合機能をもたせたプロジェクトである。 ,ポツ,ポツダム広場再開発計画(ドイツ：ベルリン),
首都の中心部を貫通する高架道路を撤去し、かつての河川水辺空間を復元させたプロジェクトである。 ,ソウ,清渓川復元事業(チョンゲチョン)(韓国ソウル),
ドゥカーレ宮殿など多くの文化遺産を再利用しながら都市全体を再開発したプロジェクトである。 ,ウル,ウルビーノ都市基本計画(イタリア：ウルビーノ),
炭鉱の産業遺産を再利用しながら都市全体を再開発したプロジェクトである。 ,ツォ,ツォルフェライン炭鉱業遺産群(ドイツ：エッセン),
建築物の高密化と老朽化に伴いスラム化した市街地において、建築物を減築し、病院を図書館へ改築するなどの文化施設の整備により都市再生が行われた。 ,ラバ,ラバル遊歩道(スペイン：バルセロナ),
バスを優先する幹線道路と、その両側に平行する支線道路等、道路の構造を都市計画的に再編し、連結されたバス車両や、プラットホームのある停留所による交通システムが構築された。 ,クリ,クリチバ(ブラジル),
■日本建築史,,■日本建築史,
桁行が7間であるが移建前は5間であり、聖武天皇橘夫人の邸宅の一屋を移して建立したものと考えられている。 ,法隆,法隆寺東院伝法堂(とういん でんぽうどう)(奈良県斑鳩町：いかるがちょう),
寝殿の左右や後ろに造られた独立の住屋は、対屋（たいのや）と呼ばれ、渡殿（わたどの）で連結されている。柱は丸柱 。寝殿の周囲には蔀戸（しとみど）を吊り。床は板敷き。,東三,東三条殿(ひがしさんじょうどの),寝殿造り
銀閣と同じ敷地に建つ。現存最古とされる違い棚と付書院をもつ。四畳半茶室の起源といわれる。 ,慈照,慈照寺東求堂同仁斎(じしょうじ とうぐどう どうじんさい)(京都府),
東福寺の塔頭（たっちゅう）であり、現存する最古の方丈といわれている。塔頭（たっちゅう）とは、大寺の中の小寺のことです。塔頭の中心施設が方丈です。,東福,東福寺竜吟庵(とうふくじ りょうぎんあん)(京都市),
平面は､「匠明」の殿屋集に描かれている「主殿の図」とほぼ同じであり、桃山時代の標準的な武家の住宅の形式を示すものと考えられている。 ,園城,園城寺光浄院客殿(おんじょうじ こうじょういん きゃくでん)(滋賀県),
黒書院には、押板床・違棚・付書院をもつ上段の間がある。 ,二条,二条城二の丸御殿(にのまるごてん),
16世紀に造立された、利休好みの二畳の草庵茶室である。 ,妙喜,妙喜庵待庵(みょうきあん たいあん)(京都府),
17世紀にもと建仁寺内に造立された、大小五つの窓や躙口（にじりぐち）の配置が特徴的な茶室である。織田有楽斎（信長の弟）の茶室 。,如,如庵(じょあん)(愛知県犬山市),
書院風茶室。17世紀に小堀遠州によって造立された、縁先にわたした中敷居の上の障子とその下の開口が特徴的な書院風茶室である。 ,孤篷,孤篷庵忘筌(こほうあん ぼうせん)(京都府),
書院風の茶座敷。大徳寺の書院内にある茶室四畳半台目で、書院と草庵が融合した書院風の茶座敷であり、小堀遠州によって造立されたといわれている。「四畳半台目」の「台目（だいめ）」とは、茶室で使う畳で、長辺が通常の畳のおよそ四分の三の大きさのものを言います。,密,密庵(みったん)(京都市),
17世紀に桂離宮の敷地南端に造立された、茅葺寄棟屋根や深い土庇等の農家風の外観をもつ格式にこだわらない自由な造形の茶室である。 ,笑,笑意軒(しょういけん)(京都市),
小丘を巧みに利用して構築された平山城で、優美な外観が特徴である。 ,姫路,姫路城(兵庫県),平地に建つ城を平城(ひらじろ)、小高い丘に建つ城を平山城(ひらやまじろ)、高い山頂に建つ城を山城(やまじろ)と言います。
敷地内の池に面して建つ3層の楼閣建築であり、左右対称を避けるように3層を中央からずらして配置し、屋根や唐破風を複雑に配した、桃山時代に建てられた数寄屋造りの建築物である。 ,本願,本願寺飛雲閣(ひうんかく)(京都府),
江戸時代に造営された数寄屋風建築の代表例である。 江戸時代における公家の社会においては、王朝文化を反映した別荘等が造営され、その代表例である。皇族の八条宮智仁親王の別荘です。,桂離,桂離宮(かつらりきゅう)(京都市),
3棟からなり、現在の第三屋においては、1階に雅楽の楽器を用いた欄間、2階に縁を配した小部屋が設けられている、江戸時代に建てられた数寄屋風書院造りの建築物である。 ,臨春,臨春閣(りんしゅんかく)(現・神奈川県横浜市三渓園),
農家は、地方により架構や平面が異なり、東北地方の南部曲り家においては、馬を家の中で飼育できるようになっている。L字型平面の民家形式で、主として岩手県に分布し、土間前方に馬屋のために突出部を設けたものをいいます。 南部曲り家として岩手県遠野市の「千葉家」が有名です。,曲り,曲り家(まがりや),
屋根を棟束で支え、柱間が長く、内法高の低い、現存最古級の一つと推定されている民家である。 ,箱木,箱木家住宅(はこぎけじゅうたく)(兵庫県),
江戸時代における商家は、町家の一つであり、今西家（橿原市今井町）のように、表通りに面し、片側が土間で奥に座敷を設けたものがある。 ,今西,今西家住宅(奈良県橿原市今井町),
一般に、妻壁を屋根面より高く突き出し、小屋根を付けた部分のことで、建築物の装飾としてだけではなく、防火性能を兼ね備えている。 ,卯建,卯建(うだつ),
粘土を厚く積み、上に瓦をのせた塀をいい、柱を添えたり、壁面に漆喰を塗り、横筋をつけたりすることが多い。 ,築地,築地塀(ついじべい),
一般に、方形の平瓦を並べ四隅を釘留めし、目地に漆喰を盛り上げた外壁仕上げである。 ,海鼠,海鼠壁(なまこ壁),
河川の氾濫する低湿地帯で、周囲に堤防を築き、集落と耕地を守る水防のための集落形態のことである。 ,輪中,輪中(わじゅう),
平入りで、切妻屋根に堅魚木（かつおぎ）と千木（ちぎ）をもち、柱を全て掘立て柱とした神明造りの例である。東西に隣接する南北に細長い二つの敷地のうち、式年遷宮によって交替で一方の敷地を用いて、造替が繰り返されてきている。,伊勢,伊勢神宮(ないくうしょうでん)(三重県),
切妻造・妻入で、正面の2つの柱間の片方を入口とした左右非対称の形式をもつ、大社造の例である。,出雲,出雲大社(島根県),
切妻造り、妻入りとし、平面は前後に外陣・内陣に分かれ、 前後に細長い形状であり、回り縁・高欄はない。,住吉,住吉大社(大阪府),
切妻造り、妻入り、丹塗りとし、正面柱間は1間のものが多く、土台を設けている。 ,春日,春日大社(奈良県),
切妻造り、平入りの母屋の前に1間の向拝を設け、屋根の前面を葺き下ろしにした流れ造りの例である。 ,下鴨,下鴨神社(しもがも)(賀茂御祖神社),
切妻造り、平入りの形式をもち、前面の屋根を延長して向拝を設けた、流造りの例である。 ,上賀,上賀茂神社(かみがも)(賀茂別雷神社),
独立した前殿と後殿を切妻造り・平入りとし、両殿を相の間でつないだ、八幡造りの建築物である。 ,宇佐,宇佐神宮(うさ じんぐう)(大分県),
神体山とする宮島の弥山（みやま）を祀るために島の海浜に設けられており、本殿は身舎（もや）の前後に庇を付けた両流造りの例である。 ,厳島,厳島神社(いつくしま)(広島県),
本殿と拝殿との間を石の間でつないだ、権現造の例である。 ,日光,日光東照宮(にっこう とうしょうぐう),
重層の入母屋造りの屋根をもち、飛鳥様式で建てられた堂であり、構造上の特徴として、天秤式に釣り合うように計画された雲形組物を有する建築物である。 ,法隆,法隆寺金堂(こんどう),
三手先の組物を用い、裳階（もこし）が付いた三重塔である。 三手先組物の初期で整ってない。裳階：屋根の下の庇状の飾り。,薬師,薬師寺東塔(やくしじ とうとう),
"一重、寄棟造りであり、前面1間を吹放しとしている。 
鬼斗、三手先組物の完成形。",唐招,唐招提寺金堂(とうしょうだいじ こんどう),
一重、入母屋造りであり、桁行5間、梁行3間の母屋の周囲に1間の庇を設けている。 ,新薬,新薬師寺本堂(しんやくしじ ほんどう),
斜面の上に張り出した床を束柱で支えた、懸(かけ)造の例である。 ,東大,東大寺二月堂(とうだいじ にがつどう),
長い束柱（つかばしら）を貫で固めた足代（あししろ）によって、急な崖の上に張り出した床を支える懸造（かけづくり）の建築物である。 ,清水,清水寺本堂(きよみずでら ほんどう),
中堂の左右に重層の翼廊（よくろう）が配置されており、平安時代に建てられた建築物である。 ,平等,平等院鳳凰堂(びょうどういん ほうおうどう)(京都府宇治市),
外観が総漆塗りの金箔押しで仕上げられた方三間の仏堂であり、平安時代に建てられた建築物である。 ,中尊,中尊寺金色堂(ちゅうそんじ こんじきどう)(岩手県),
修験道の道場として山中に営まれた寺院の奥院で、岩山の崖のくぼみにあり、長短の様々な柱を巧みに用いた、平安時代に建てられた懸造りの建築物である。 ,三仏,三仏寺投入堂(さんぶつじ なげいれどう)(鳥取県三朝町),
貫で軸部を水平方向に固め、挿肘木を重ねて軒の荷重を支える大仏様の建築物である。六手先組物。 挿肘木：柱に挿す枕木状の肘木。金剛力士像がある。,東大,東大寺南大門(とうだいじ なんだいもん)(奈良県奈良市),
太い虹梁（こうりょう）と束（つか）を積み重ねて屋根を支える構造の大仏様（天竺様）の建築物である。 ,浄土,浄土寺浄土堂(じょうどじ じょうどどう)(兵庫県小野市),
主体部の柱と裳階の柱を海老虹梁でつなぎ、組物を柱の上のみならず柱と柱の間にも組んで詰組とする禅宗様の建築物である。上部が曲線をなす開口部は火灯（かとう）と呼ばれ、鎌倉時代後半に初めて用いられている。裳階がある。扇垂木。,円覚,円覚寺舎利殿(えんかくじ しゃりでん),
方形造りの舎利殿で、最上層を禅宗様仏堂風、二層を和様仏堂風、初層を住宅風とした三層の建築物である。 ,鹿苑,鹿苑寺舎利殿(ろくおんじ しゃりでん)(金閣寺),
■西洋建築様式,,■西洋建築様式,
古代ギリシャ様式。エンタシスのある柱をもつドリス式の神殿建築である。 ,パル,パルテノン神殿,
古代ローマの建築物である。 レンガとコンクリート等を用いて建造された直径約43mのドームが架けられ、その頂部にある天窓をとおして内部空間に光を取り入れる。,パン,パンテオン(ローマ),
1層目をドリス式、2層目をイオニア式、3層目をコリント式とし、異なるオーダーを装飾的に用いている。 ,コロ,コロッセウム(ローマ),
"ビザンチン様式の建築物である。 ペンデンティヴと呼ばれる技術を用いた巨大なドームが架けられ、キリスト教会堂のバシリカ式と集中式が融合した内部空間をもつ。
バシリカ式（身廊しんろう、側廊そくろう、長方形）。集中式（正方形、多角形）",ハギ,ハギア・ソフィア大聖堂(トルコ),
ビザンチン様式の建築物。ギリシア十字形の集中式の平面に、中央交差部及び十字の各腕（ベイ）の上部にドームをもつ。,サン,サン・マルコ大聖堂(イタリア ヴェネツィア),
平面が八角形の身廊とそれを囲む十六角形の周歩廊があり、身廊の上部にはドーム状のヴォールトをもつ集中式の建築物である。 ロマネスク・ゴシック・古典主義等が混じっている。プレロマネスク建築,アー,アーヘンの宮廷礼拝堂(ドイツ),
イスラム式の宮殿建築で、複数の中庭、アーケード、塔等がある。 ,アル,アルハンブラ宮殿(スペイングラナダ),
紅白縞文様の2段アーチを伴って林立する柱による内部空間をもち、現在はキリスト教文化とイスラム教文化が混在している建築物である。 ,コル,コルドバの大モスク、コルドバのメスキータ(スペイン),
ロマネスク建築。ラテン十字形のプランをもち、会堂部は五廊式、袖廊部は三廊式、交差部に楕円形のドームをもつイタリアのロマネスク建築である。 ,ピサ,ピサ大聖堂(イタリア),
ロマネスク様式。内陣の前に袖廊（トランセプト）を配したラテン十字形の三廊式バシリカの平面に、西面の中央と両端、身廊・側廊と袖廊との交差部、内陣の両側に塔をもつ、ロマネスク様式の建築物である。 ,シュ,シュパイヤー大聖堂(ドイツ),
ロマネスク様式。東西両端にアプスを対置させた二重内陣と身廊の両側に側廊を設けたバシリカ形式で構成され、東西の内陣と交差部とに六つの塔をもつロマネスク様式の建築物である。 ,ヴォ,ヴォルムス大聖堂(ドイツ),
ロマネスク様式の建築物であるが、装飾を排除した、粗い石積みだけの限られた要素で構成されている。 ,ル・,ル・トロネ修道院(フランス),
ゴシック様式。二重周歩廊をめぐらした内陣と階上廊を有する側廊が設けられた五廊式バシリカの平面に、バラ窓や双塔を西面にもつ、ゴシック様式の建築物である。 ,ノー,ノートル・ダム大聖堂(フランス・パリ),
盛期ゴシック建築。フランス最大の大聖堂。身廊部・袖廊部ともに三廊式であり、内陣に周歩廊と放射状祭室とをもつフランスの盛期ゴシック建築である。 ,アミ,アミアン大聖堂(フランス),
多数の小尖塔の外観を特徴とした、ゴシック建築の代表的な建築物である。 ,ミラ,ミラノ大聖堂(イタリア),
世界最大級の石積ドームをもち、外装はピンクや緑の大理石により幾何学模様で装飾され、クーポラとランターンは初期ルネサンス様式、ファサードはネオ・ゴシック様式の建築物である。 ,フィ,フィレンツェ大聖堂(イタリア),
ローマ。ルネサンス建築 。ブラマンテ設計。,テン,テンピエット(イタリア),
ヴィチェンツァ。A.パラディオ設計。ルネサンス建築 。 ,バシ,バシリカ・パラディアーナ（イタリア北部　ヴィチェンツァ）,
巨大なドームや列柱廊を用いた、バロック建築を代表する建築物である。 ,サン,サン・ピエトロ大聖堂(イタリア　バチカン),
広大かつ整然とした幾何学的庭園をもち、宮殿内は「鏡の間」に代表される豪華な室内装飾が随所に施された、バロック様式の建築物である。 ,ヴェ,ヴェルサイユ宮殿,
ロンドン。バロック様式の建築物。,セン,セント・ポール大聖堂(イギリス),
凹凸の湾曲面や曲線が使用されたファサードをもち、内部には楕円形平面のドームが架けられた、バロック様式の建築物である。 ,サン,サン・カルロ聖堂(イタリア),
考古学の成果に基づく古代ギリシアや古代ローマ建築の研究及び正確な理解を通じ、その造形原理の復興を試みた新古典主義を背景としている。 ,大英,大英博物館（イギリス）,
ゴシック様式を復興させたゴシック・リバイバル（ネオ・ゴシック）の代表作で、テムズ川に面した長大なファサードや時計塔など大小の塔による垂直性が特徴的である。 ,ウェ,ウェストミンスター宮殿（イギリス）,
■西洋近代建築史,,■西洋近代建築史,
機械生産による低品質な製品を否定し、工業化社会における芸術性を中世的な手工芸に求めたアーツ・アンド・クラフツ運動を背景としている。 ,レッ,レッド・ハウス(ウィリアム・モリス、フィリップ・ウェッブ),
バルセロナ。アントニオ・ガウディ 。,サグ,サグラダ・ファミリア,
アール・ヌーヴォー。V. オルタ設計。 ,タッ,タッセル邸,
ゼツェッシオン（分離派）。オットー・ヴァグナー設計。,ウィ,ウィーン郵便貯金局(オットー・ヴァグナー),
宿舎兼アトリエ、工房、付属工業学校という三つの機能をそれぞれ独立したブロックにしたことが特徴である。 ,バウ,バウハウス校舎(ワルター・グロピウス),
ドームの構築法であり、モントリオール万国博覧会のアメリカ館では、鋼材の立体トラスとガラスによって巨大な球体のドームを実現させた。 ,ジオ,ジオデシック・ドーム(バックミンスター・フラー),
コンクリートのもつ重量感を巧みに引き出し、彫刻作品を思わせる独創的な建築物である。 ,ロン,ロンシャン教会堂(ル・コルビュジエ),
エーリッヒ・メンデルゾーン設計。表現主義。,アイ,アインシュタイン塔,
結核患者が療養するための病院で、合理的で明快なゾーニングと風土に根ざしたヒューマン・デザインが特徴である。 ,パイ,パイミオのサナトリウム(アルヴァ・アアルト),
長さ約105mの屋根は、4本のY字柱脚に支えられた4枚の鉄筋コンクリート造によるシェルで構成されている。 ,ケネ,ケネディ空港TWAターミナル(エーロ・サーリネン),
鉄筋コンクリート構造による美術館で、ヴォールト屋根の中央のスリットからの自然光を展示室に取り入れている。 ,キン,キンベル美術館(ルイス・カーン),
国際コンペによって選ばれたヨーン・ウツソンが設計したオペラハウスで、円弧のシェル群によるシンボリックな造形が特徴である ,シド,シドニー・オペラハウス(ヨーン・ウツソン構造協力アラップ),
直径約365m・最高高さ約50mの膜構造ドームは、12本のマストの頂部からケーブルで吊られている。 標準時で有名なグリニッジにあり、12本のマストは「時間」と「月」を象徴しています。 ,ミレ,ミレニアムドーム2000(R・ロジャース),
■日本近代建築史,,■日本近代建築史,
アーチや隅石等の洋風の意匠と唐破風等の和風の意匠が混在した擬洋風の建築物である。 ,旧開,旧開智学校校舎(かいち),
木造総2階建てで、中央入口の上部に架かる半円形に張り出したバルコニーをコリント式の柱で支える、明治時代に建てられた洋風の建築物である。 ,豊平,豊平館(ほうへいかん)(北海道),
「日本の住宅」の著者である藤井厚二が設計した自邸で、日本の気候や風土との調和を目指した様々な工夫がなされている。 ,聴竹,聴竹居(ちょうちくきょ)(藤井厚二),
■日本の歴史的建造物の保存・再生,,■日本の歴史的建造物の保存・再生,
明治時代に建てられた煉瓦造（れんがづくり）の洋風建築であり、ファサードの一部を保存し、内部を一新して鉄筋コンクリート造の建築物とすることにより、現在でも郵便局として利用されている。 ,中京,中京郵便局(なかぎょう)(京都府),
